Date,Inverter,Energy,
9/30/2022,2,17556.0,
10/1/2022,2,17311.1,
10/2/2022,2,17528.1,
10/3/2022,2,0.0,
10/4/2022,2,16960.7,
10/5/2022,2,16206.8,
10/6/2022,2,15818.6,
10/7/2022,2,15845.6,
10/8/2022,2,15764.7,
10/9/2022,2,15792.6,
10/10/2022,2,15721.9,
10/11/2022,2,15632.1,
10/12/2022,2,15202.9,
10/13/2022,2,14838.4,
10/14/2022,2,14969.6,
10/15/2022,2,14690.6,
10/16/2022,2,14699.0,
10/17/2022,2,14421.0,
10/18/2022,2,12875.2,
10/19/2022,2,13320.5,
10/20/2022,2,9805.4,
10/21/2022,2,13393.1,
10/22/2022,2,9426.2,
10/23/2022,2,14912.1,
10/24/2022,2,14653.9,
10/25/2022,2,13733.6,
10/26/2022,2,9879.2,
10/27/2022,2,15725.6,
10/28/2022,2,8827.2,
10/29/2022,2,8681.8,
10/30/2022,2,8796.6,
10/31/2022,2,2905.3,
11/1/2022,2,6015.6,
11/2/2022,2,5073.3,
11/3/2022,2,7152.3,
11/4/2022,2,6363.8,
11/5/2022,2,2380.1,
11/6/2022,2,69.2,
11/7/2022,2,1984.2,
11/8/2022,2,1698.5,
11/9/2022,2,7815.2,
11/10/2022,2,9438.1,
11/11/2022,2,7217.8,
11/12/2022,2,8116.0,
11/13/2022,2,9269.2,
11/14/2022,2,8877.3,
11/15/2022,2,12764.4,
1/1/2022,3,6323.5,
1/2/2022,3,3366.8,
1/3/2022,3,6209.7,
1/4/2022,3,3608.7,
1/5/2022,3,3196.1,
1/6/2022,3,5327.4,
1/7/2022,3,2900.5,
1/8/2022,3,4690.2,
1/9/2022,3,5747.1,
1/10/2022,3,4876.0,
1/11/2022,3,6058.1,
1/12/2022,3,4029.7,
1/13/2022,3,3405.8,
1/14/2022,3,3015.7,
1/15/2022,3,2054.7,
1/16/2022,3,4960.3,
1/17/2022,3,4659.6,
1/18/2022,3,7452.5,
1/19/2022,3,7928.8,
1/20/2022,3,7767.1,
1/21/2022,3,7932.1,
1/22/2022,3,8815.5,
1/23/2022,3,8841.4,
1/24/2022,3,8688.6,
1/25/2022,3,8617.8,
1/26/2022,3,8910.7,
1/27/2022,3,8717.0,
1/28/2022,3,7809.4,
1/29/2022,3,5708.8,
1/30/2022,3,9026.4,
1/31/2022,3,3674.3,
2/1/2022,3,9901.1,
2/2/2022,3,9871.1,
2/3/2022,3,8990.8,
2/4/2022,3,9880.1,
2/5/2022,3,8428.2,
2/6/2022,3,9859.1,
2/7/2022,3,9895.8,
2/8/2022,3,9660.5,
2/9/2022,3,8695.6,
2/10/2022,3,9837.3,
2/11/2022,3,9767.0,
2/12/2022,3,9974.2,
2/13/2022,3,9932.1,
2/14/2022,3,8656.8,
2/15/2022,3,7870.2,
2/16/2022,3,11326.4,
2/17/2022,3,10000.6,
2/18/2022,3,2198.0,
2/19/2022,3,2115.5,
2/20/2022,3,578.8,
2/21/2022,3,2327.4,
2/22/2022,3,3690.1,
2/23/2022,3,12282.8,
2/24/2022,3,4505.9,
2/25/2022,3,8444.2,
2/26/2022,3,1459.9,
2/27/2022,3,4511.3,
2/28/2022,3,12178.5,
3/1/2022,3,9984.4,
3/2/2022,3,10428.7,
3/3/2022,3,5261.9,
3/4/2022,3,4393.4,
3/5/2022,3,8019.4,
